Ticker,Date,Close
NVDA,1/4/2010 16:00,4.62
NVDA,1/5/2010 16:00,4.69
NVDA,1/6/2010 16:00,4.72
NVDA,1/7/2010 16:00,4.63
NVDA,1/8/2010 16:00,4.64
NVDA,1/11/2010 16:00,4.57
NVDA,1/12/2010 16:00,4.42
NVDA,1/13/2010 16:00,4.48
NVDA,1/14/2010 16:00,4.41
NVDA,1/15/2010 16:00,4.28
NVDA,1/19/2010 16:00,4.36
NVDA,1/20/2010 16:00,4.34
NVDA,1/21/2010 16:00,4.26
NVDA,1/22/2010 16:00,4.12
NVDA,1/25/2010 16:00,4.18
NVDA,1/26/2010 16:00,4.05
NVDA,1/27/2010 16:00,4.16
NVDA,1/28/2010 16:00,4.02
NVDA,1/29/2010 16:00,3.85
NVDA,2/1/2010 16:00,4.14
NVDA,2/2/2010 16:00,4.18
NVDA,2/3/2010 16:00,4.22
NVDA,2/4/2010 16:00,3.98
NVDA,2/5/2010 16:00,4.06
NVDA,2/8/2010 16:00,4.05
NVDA,2/9/2010 16:00,4.01
NVDA,2/10/2010 16:00,4.09
NVDA,2/11/2010 16:00,4.28
NVDA,2/12/2010 16:00,4.34
NVDA,2/16/2010 16:00,4.42
NVDA,2/17/2010 16:00,4.46
NVDA,2/18/2010 16:00,4.17
NVDA,2/19/2010 16:00,4.14
NVDA,2/22/2010 16:00,4.15
NVDA,2/23/2010 16:00,4.05
NVDA,2/24/2010 16:00,4.14
NVDA,2/25/2010 16:00,4.1
NVDA,2/26/2010 16:00,4.05
NVDA,3/1/2010 16:00,4.21
NVDA,3/2/2010 16:00,4.21
NVDA,3/3/2010 16:00,4.16
NVDA,3/4/2010 16:00,4.17
NVDA,3/5/2010 16:00,4.29
NVDA,3/8/2010 16:00,4.23
NVDA,3/9/2010 16:00,4.39
NVDA,3/10/2010 16:00,4.4
NVDA,3/11/2010 16:00,4.3
NVDA,3/12/2010 16:00,4.31
NVDA,3/15/2010 16:00,4.29
NVDA,3/16/2010 16:00,4.44
NVDA,3/17/2010 16:00,4.53
NVDA,3/18/2010 16:00,4.37
NVDA,3/19/2010 16:00,4.31
NVDA,3/22/2010 16:00,4.38
NVDA,3/23/2010 16:00,4.47
NVDA,3/24/2010 16:00,4.32
NVDA,3/25/2010 16:00,4.34
NVDA,3/26/2010 16:00,4.34
NVDA,3/29/2010 16:00,4.39
NVDA,3/30/2010 16:00,4.41
NVDA,3/31/2010 16:00,4.35
NVDA,4/1/2010 16:00,4.31
NVDA,4/5/2010 16:00,4.37
NVDA,4/6/2010 16:00,4.26
NVDA,4/7/2010 16:00,4.29
NVDA,4/8/2010 16:00,4.22
NVDA,4/9/2010 16:00,4.25
NVDA,4/12/2010 16:00,4.33
NVDA,4/13/2010 16:00,4.42
NVDA,4/14/2010 16:00,4.47
NVDA,4/15/2010 16:00,4.5
NVDA,4/16/2010 16:00,4.26
NVDA,4/19/2010 16:00,4.25
NVDA,4/20/2010 16:00,4.26
NVDA,4/21/2010 16:00,4.15
NVDA,4/22/2010 16:00,4.17
NVDA,4/23/2010 16:00,4.11
NVDA,4/26/2010 16:00,4.15
NVDA,4/27/2010 16:00,4.03
NVDA,4/28/2010 16:00,4.04
NVDA,4/29/2010 16:00,4.16
NVDA,4/30/2010 16:00,3.93
NVDA,5/3/2010 16:00,3.89
NVDA,5/4/2010 16:00,3.69
NVDA,5/5/2010 16:00,3.63
NVDA,5/6/2010 16:00,3.55
NVDA,5/7/2010 16:00,3.49
NVDA,5/10/2010 16:00,3.64
NVDA,5/11/2010 16:00,3.6
NVDA,5/12/2010 16:00,3.67
NVDA,5/13/2010 16:00,3.66
NVDA,5/14/2010 16:00,3.24
NVDA,5/17/2010 16:00,3.25
