Ticker ,Date,Close
ORCL,1/4/2010 16:00,24.85
ORCL,1/5/2010 16:00,24.82
ORCL,1/6/2010 16:00,24.46
ORCL,1/7/2010 16:00,24.38
ORCL,1/8/2010 16:00,24.68
ORCL,1/11/2010 16:00,24.69
ORCL,1/12/2010 16:00,24.56
ORCL,1/13/2010 16:00,24.8
ORCL,1/14/2010 16:00,25.34
ORCL,1/15/2010 16:00,25.24
ORCL,1/19/2010 16:00,25.33
ORCL,1/20/2010 16:00,25.06
ORCL,1/21/2010 16:00,24.83
ORCL,1/22/2010 16:00,24.15
ORCL,1/25/2010 16:00,24.03
ORCL,1/26/2010 16:00,23.88
ORCL,1/27/2010 16:00,23.86
ORCL,1/28/2010 16:00,23.47
ORCL,1/29/2010 16:00,23.06
ORCL,2/1/2010 16:00,23.22
ORCL,2/2/2010 16:00,23.76
ORCL,2/3/2010 16:00,23.75
ORCL,2/4/2010 16:00,23.11
ORCL,2/5/2010 16:00,23.55
ORCL,2/8/2010 16:00,23.12
ORCL,2/9/2010 16:00,23.51
ORCL,2/10/2010 16:00,23.11
ORCL,2/11/2010 16:00,23.35
ORCL,2/12/2010 16:00,23.41
ORCL,2/16/2010 16:00,23.81
ORCL,2/17/2010 16:00,24.18
ORCL,2/18/2010 16:00,24.52
ORCL,2/19/2010 16:00,24.32
ORCL,2/22/2010 16:00,24.81
ORCL,2/23/2010 16:00,24.48
ORCL,2/24/2010 16:00,24.77
ORCL,2/25/2010 16:00,24.87
ORCL,2/26/2010 16:00,24.65
ORCL,3/1/2010 16:00,24.74
ORCL,3/2/2010 16:00,24.58
ORCL,3/3/2010 16:00,24.5
ORCL,3/4/2010 16:00,24.76
ORCL,3/5/2010 16:00,24.95
ORCL,3/8/2010 16:00,24.7
ORCL,3/9/2010 16:00,24.88
ORCL,3/10/2010 16:00,24.87
ORCL,3/11/2010 16:00,25.14
ORCL,3/12/2010 16:00,25.05
ORCL,3/15/2010 16:00,25.28
ORCL,3/16/2010 16:00,25.21
